Country	City 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec 	Year 	Ref.
Taiwan 	Kaohsiung 	174.7 	165.8 	187.0 	189.1 	198.5 	199.9 	221.4 	193.7 	175.7 	182.4 	162.2 	161.8 	2,212.2 	?
Taiwan 	Taichung 	176.6 	140.6 	149.9 	137.8 	158.7 	160.1 	199.6 	178.7 	175.8 	203.7 	179.4 	182.3 	2,043.2 	?
Taiwan 	Taipei 	80.6 	71.3 	89.6 	92.6 	113.7 	121.7 	179.0 	188.9 	153.7 	124.0 	99.4 	90.7 	1,405.2 	?
Thailand 	Bangkok 	272.5 	249.9 	269.0 	256.7 	216.4 	178.0 	171.8 	160.3 	154.9 	198.1 	234.2 	262.0 	2,623.8 	[100]
Thailand 	Chiang Mai 	272.8 	257.1 	294.5 	279.0 	198.4 	156.0 	120.9 	117.8 	144.0 	201.5 	216.0 	254.2 	2,512.2 	[101]
Thailand 	Hat Yai 	182.9 	166.7 	186.0 	144.0 	114.7 	111.0 	114.7 	114.7 	108.0 	111.6 	105.0 	108.5 	1,567.8 	[101]
Thailand 	Nakhon Ratchasima 	226.3 	211.9 	201.5 	186.0 	155.0 	114.0 	117.8 	117.8 	108.0 	145.7 	186.0 	226.3 	1,996.3 	[101]
Turkey 	Ankara 	77.5 	98.9 	161.2 	189.0 	260.4 	306.0 	350.3 	328.6 	276.0 	198.4 	132.0 	71.3 	2,449.6 	?
United Arab Emirates 	Dubai 	254.2 	229.6 	254.2 	294.0 	344.1 	342.0 	322.4 	316.2 	309.0 	303.8 	285.0 	254.2 	3,508.7 	?
Uzbekistan 	Tashkent 	117.8 	127.1 	164.3 	216.0 	303.8 	363.0 	384.4 	365.8 	300.0 	226.3 	150.0 	105.4 	2,823.9 	[102]
Vietnam 	Da Lat 	255 	234 	255 	202 	190 	147 	157 	136 	133 	140 	172 	215 	2,238 	[103]
Vietnam 	Da Nang 	139 	145 	188 	209 	246 	239 	253 	218 	176 	145 	120 	103 	2,182 	[103]
Vietnam 	Hanoi 	74 	47 	47 	90 	183 	172 	195 	174 	176 	167 	137 	124 	1,585 	[103]
Vietnam 	Ho Chi Minh City 	245 	246 	272 	239 	195 	171 	180 	172 	162 	182 	200 	226 	2,489 	[103]
